signatory_names,join_dates,signatory_descriptions,signatory_sites,sign_link
,Feb 3  2023,Hippo Harvest is a CEA startup developing sustainable greenhouse systems that are cost competitive with fields. We use passive hydroponic methods  robotics  and machine learning as tools to keep capex low  increase productivity  and allow for faster learning cycles relative to CEA methods broadly in use today. We aim to catalyze the transition of fresh produce from field growing to more sustainable  local  and healthy forms of production.  Our greenhouses use 92% less water  55% less fertilizer  and 94% less land than conventional agriculture. In addition  they reduce food waste by 61% and eliminate the need for synthetic pesticides.  This sustainability focus makes The Climate Pledge a natural next step in measuring  reporting  and improving the carbon footprint of our operations.,https://www.hippoharvest.com/futureoffood,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/hippo_harvest.html
,Jan 26  2023,T-Mobile’s mission is to be the best in the world at connecting customers to their world. It is at the heart of who T-Mobile is  driving its obsession to enable more people in more places to have access to the connectivity shaping virtually all aspects of modern life. Whether it’s being first in the U.S. wireless industry to set a science-based net-zero emissions target  achieving its 100% renewable energy goal  reducing waste  or responsibly managing the lifecycle of its products  T-Mobile is taking immediate and ambitious action to create a more sustainable future.,https://www.t-mobile.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/t-mobile.html
,Jan 22  2023,CTA Group fills a unique segment of the building and construction market by providing specialized building products for the orientation of people with vision impairment  as well as more traditional products such as floor coverings  metal works and joinery  together known as finishing products. CTA Group inspires clients to work collaboratively by improving the built environment with the specification of products that meet high sustainability standards. CTA Group's mantra is that there is greater "Strength in Partnership". CTA's commitment to sustainability spans 20 years  and they recently adopted a roadmap to reduce Scope 1  2  and 3 carbon emissions in line with climate science  and to achieve net zero carbon emissions by 2030.,https://ctagroup.com.au/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/cta_group.html
,Jan 11  2023,TService carries out freight transport services through owned vehicles  direct human resources and international logistics platforms  and it deals with complementary activities like consulting and specific support services. Tservices commitment to sustainability started in 2020 and recently adopted strategy to reduce emissions for Scope 1  2 and 3 in line with climate science and to achieve net zero carbon emissions by 2040.,https://tservicespa.com/report-sostenibilita/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/tservice_spa.html
,Jan 10  2023,At SproutWorld  we believe that sustainability lives at the heart of a successful business  and that business can be a force for good. Our hero product The plantable SproutWorld pencil and makeup liners can be planted when to short to use  and turn into flowers  herbs or even trees. Its the circle of life - giving new life to a used-up product. Imagine what else could be given a second life? We are in the world to show that a business build around Doing The Right Thing is the right business and that it's the only way into the future. We call our products green messengers. That’s our way of saying they’re more than a pencil or makeup liner – they’re part of a bigger story about how you can enact sustainability in your everyday actions.,https://sproutworld.com/b-corp-what-it-means/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/sproutworld.html
,Jan 10  2023,This signatory has not yet provided a description. This page will be updated once information becomes available.,https://www.iberdrola.com/home,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/iberdrola.html
,Dec 30  2022,MacDonald-Miller Facility Solutions is zeroed in on carbon neutrality. As a full-service mechanical contractor with a robust in-house engineering team  they are proud to take part in projects that help shape and enhance our local communities. From smart buildings to central utility plants  they design  build  and optimize mechanical systems that lower energy usage without compromising performance. MacDonald-Miller is committed to achieving net zero carbon emissions across Scopes 1  2  and 3 by 2040.,https://macmiller.com/sustainability/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/macdonald-miller.html
,Dec 18  2022,This signatory has not yet provided a description. This page will be updated once information becomes available.,https://www.haleon.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/Haleon.html
,Oct 6  2022,SIDASA Engineering is a 70-year-old company which core business has been industry engineering. During the last years  two more business units  Robotics and Sustainable Development  have been added to the scope of the company.  SIDASA Engineering  with its SDS  Sustainable Development Solutions business unit commits on to achieve the net zero emission by 2023 in all activities done by SIDASA Engineering. In 2025 SIDASA engineering commits on to achieve the net zero emissions for the organization including its collaborators.,https://www.sidasa.es/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/sidasa-engineering.html
,Sep 12  2022,9 Foundations  Inc. strategically advises clients across all sectors of the economy on healthy building science and solutions. 9 Foundations' pioneering approach centers around a health-first mindset in all aspects of building design and operation. Buildings consume 40% of all energy globally - now more than ever  the world is also aware of the impact of the indoor environment on human health. 9 Foundations leverages cutting edge research to provide solutions for excellent indoor air quality for building occupants  while also addressing sustainability goals that improve the health of the community by reducing impacts on the planet.,https://9foundations.com/,https://www.theclimatepledge.com/content/amazonclimatepledge/us/en/Signatories/9-foundations-inc.html
